(Asia,{
(1834-07-01,20.549,1.222,Asia),
(1834-08-01,19.115,1.132,Asia),
(1834-09-01,14.699000000000002,1.557,Asia),
(1834-10-01,7.447999999999999,1.225,Asia),
(1834-11-01,0.993,1.962,Asia),
(1834-12-01,-5.1019999999999985,1.543,Asia),
(1835-01-01,-6.6190000000000015,2.048,Asia),
(1835-02-01,-4.254,1.7,Asia),
(1835-03-01,-0.050999999999999934,1.5730000000000002,Asia),
(1835-04-01,7.407999999999999,1.644,Asia),
(1835-05-01,12.865,1.179,Asia),
(1835-06-01,17.461000000000002,1.388,Asia),
(1835-07-01,19.581,1.365,Asia),
(1835-08-01,17.727,1.06,Asia),
(1835-09-01,12.83,1.204,Asia),
(1835-10-01,6.731999999999998,1.214,Asia),
(1835-11-01,-1.859,1.493,Asia),
(1835-12-01,-8.094999999999999,1.479,Asia),
(1836-01-01,-7.727,1.6780000000000002,Asia),
(1836-02-01,-5.629,1.778,Asia),
(1836-03-01,1.614,1.379,Asia),
(1836-04-01,6.994,1.324,Asia),
(1836-05-01,13.139000000000001,1.449,Asia),
(1836-06-01,18.375999999999998,1.126,Asia),
(1836-07-01,20.323,1.206,Asia),
(1836-08-01,18.354,1.216,Asia),
(1836-09-01,13.93,1.453,Asia),
(1836-10-01,8.096,2.145,Asia),
(1836-11-01,-1.342,1.501,Asia),
(1836-12-01,-5.412000000000001,1.951,Asia),
(1837-01-01,-7.526000000000002,2.4330000000000003,Asia),
(1837-02-01,-5.06,2.057,Asia),
(1837-03-01,-0.7219999999999998,1.796,Asia),
(1837-04-01,5.89,1.5490000000000002,Asia),
(1837-05-01,13.064,1.199,Asia),
(1837-06-01,17.949,1.285,Asia),
(1837-07-01,20.252,1.065,Asia),
(1837-08-01,19.06,1.057,Asia),
(1837-09-01,13.949000000000002,1.068,Asia),
(1837-10-01,6.432,1.51,Asia),
(1837-11-01,-1.291,1.504,Asia),
(1837-12-01,-6.066,1.962,Asia),
(1838-01-01,-11.357000000000001,2.431,Asia),
(1838-02-01,-6.456,1.945,Asia),
(1838-03-01,-1.1900000000000002,1.614,Asia),
(1838-04-01,7.273999999999999,1.237,Asia),
(1838-05-01,13.229000000000001,1.094,Asia),
(1838-06-01,18.37,1.006,Asia),
(1838-07-01,21.349,1.54,Asia),
(1838-08-01,19.7,1.586,Asia),
(1838-09-01,13.989,1.213,Asia),
(1838-10-01,7.737999999999999,1.596,Asia),
(1838-11-01,-0.04099999999999998,1.7080000000000002,Asia),
(1838-12-01,-5.7799999999999985,1.997,Asia),
(1839-01-01,-7.0950000000000015,2.143,Asia),
(1839-02-01,-4.3839999999999995,1.93,Asia),
(1839-03-01,-2.2159999999999997,1.6569999999999998,Asia),
(1839-04-01,6.949,1.4480000000000002,Asia),
(1839-05-01,13.542,1.014,Asia),
(1839-06-01,18.434,1.03,Asia),
(1839-07-01,21.52,1.508,Asia),
(1839-08-01,19.910999999999998,1.494,Asia),
(1839-09-01,14.17,1.113,Asia),
(1839-10-01,6.943999999999999,1.445,Asia),
(1839-11-01,-1.996,1.625,Asia),
(1839-12-01,-9.076,1.672,Asia),
(1840-01-01,-7.0840000000000005,1.935,Asia),
(1840-02-01,-6.105,1.859,Asia),
(1840-03-01,-1.256,1.256,Asia),
(1840-04-01,7.699,1.52,Asia),
(1840-05-01,14.383,1.18,Asia),
(1840-06-01,19.302000000000003,1.116,Asia),
(1840-07-01,21.827,0.987,Asia),
(1840-08-01,19.14,1.1,Asia),
(1840-09-01,13.876,1.026,Asia),
(1840-10-01,6.091999999999999,1.187,Asia),
(1840-11-01,-1.712,1.305,Asia),
